	メロス	ディオニス	セリヌンティウス	Text (first 100 chars)
P1	メロス、メロス、メロス	邪智暴虐		メロスは激怒した。必ず、かの邪智暴虐の王を除かなければならぬと決意した。メロスには政治がわからぬ。メロスは、村の牧人である。笛を吹き、羊と遊んで暮して来た。けれども邪悪に対しては、人一倍に敏感であった
P2	メロス、メロス、メロス			きょう未明メロスは村を出発し、野を越え山越え、十里はなれた此のシラクスの市にやって来た。メロスには父も、母も無い。女房も無い。十六の、内気な妹と二人暮しだ。この妹は、村の或る律気な一牧人を、近々、花婿
P3	メロス		竹馬の友、セリヌンティウス	メロスには竹馬の友があった。セリヌンティウスである。今は此のシラクスの市で、石工をしている。その友を、これから訪ねてみるつもりなのだ。久しく逢わなかったのだから、訪ねて行くのが楽しみである。
P4	メロス、メロス、メロス、メロス	王、王様、御自身、国王、王		歩いているうちにメロスは、まちの様子を怪しく思った。ひっそりしている。もう既に日も落ちて、まちの暗いのは当りまえだが、けれども、なんだか、夜のせいばかりでは無く、市全体が、やけに寂しい。のんきなメロス
P5	メロス、メロス、メロス、メロス、メロス、メロス、下賤、メロス、メロス、嘘つき、メロス	王、ディオニス、王、暴君、王、王、暴君、王、王、暴君、わし	セリヌンティウス、無二の友人、あの友人、身代りの男、身代りの男、身代り、その身代り	メロスは、単純な男であった。買い物を、背負ったままで、のそのそ王城にはいって行った。たちまち彼は、巡邏の警吏に捕縛された。調べられて、メロスの懐中からは短剣が出て来たので、騒ぎが大きくなってしまった。
P6	メロス、メロス、メロス	暴君ディオニス	セリヌンティウス、友、セリヌンティウス、セリヌンティウス	竹馬の友、セリヌンティウスは、深夜、王城に召された。暴君ディオニスの面前で、佳き友と佳き友は、二年ぶりで相逢うた。メロスは、友に一切の事情を語った。セリヌンティウスは無言で首肯き、メロスをひしと抱きし
P7	メロス、メロス、兄、兄、兄、メロス、メロス、メロス、メロス			メロスはその夜、一睡もせず十里の路を急ぎに急いで、村へ到着したのは、翌る日の午前、陽は既に高く昇って、村人たちは野に出て仕事をはじめていた。メロスの十六の妹も、きょうは兄の代りに羊群の番をしていた。よ
P8	メロス、メロス、メロス、メロス ほどの男、おまえの兄、兄、たぶん偉い男、メロス、メロス、メロス	王		結婚式は、真昼に行われた。新郎新婦の、神々への宣誓が済んだころ、黒雲が空を覆い、ぽつりぽつり雨が降り出し、やがて車軸を流すような大雨となった。祝宴に列席していた村人たちは、何か不吉なものを感じたが、そ
P9	メロス、メロス	王		眼が覚めたのは翌る日の薄明の頃である。メロスは跳ね起き、南無三、寝過したか、いや、まだまだ大丈夫、これからすぐに出発すれば、約束の刻限までには十分間に合う。きょうは是非とも、あの王に、人の信実の存する
P10	メロス、メロス、メロス	王	身代りの友	さて、メロスは、ぶるんと両腕を大きく振って、雨中、矢の如く走り出た。私は、今宵、殺される。殺される為に走るのだ。身代りの友を救う為に走るのだ。王の奸佞邪智を打ち破る為に走るのだ。走らなければならぬ。そ
P11	メロス、メロス、メロス、メロス、メロス、メロス		佳い友達	ぶらぶら歩いて二里行き三里行き、そろそろ全里程の半ばに到達した頃、降って湧いた災難、メロスの足は、はたと、とまった。見よ、前方の川を。きのうの豪雨で山の水源地は氾濫し、濁流滔々と下流に集り、猛勢一挙に
P12	メロス	王、王		ぜいぜい荒い呼吸をしながら峠をのぼり、のぼり切って、ほっとした時、突然、目の前に一隊の山賊が躍り出た。「待て。」「何をするのだ。私は陽の沈まぬうちに王城へ行かなければならぬ。放せ。」「どっこい放さぬ。
P13	メロス、メロス、真の勇者、メロス、自分、よくよく不幸な男、裏切者、地上で最も、不名誉の人種、悪徳者、醜い裏切り者	王、王、王、王、王	愛する友、友、セリヌンティウス、セリヌンティウス、セリヌンティウス、身代り、セリヌンティウス	一気に峠を駈け降りたが、流石に疲労し、折から午後の灼熱の太陽がまともに、かっと照って来て、メロスは幾度となく眩暈を感じ、これではならぬ、と気を取り直しては、よろよろ二、三歩あるいて、ついに、がくりと膝
P14	メロス、メロス、メロス、正義の士、正直な男、正直な男			ふと耳に、潺々、水の流れる音が聞えた。そっと頭をもたげ、息を呑んで耳をすました。すぐ足もとで、水が流れているらしい。よろよろ起き上って、見ると、岩の裂目から滾々と、何か小さく囁きながら清水が湧き出てい
P15	メロス、メロス、メロス		あの男、その男、その男、その男	路行く人を押しのけ、跳ねとばし、メロスは黒い風のように走った。野原で酒宴の、その宴席のまっただ中を駈け抜け、酒宴の人たちを仰天させ、犬を蹴とばし、小川を飛び越え、少しずつ沈んでゆく太陽の、十倍も早く走
P16	メロス、メロス、メロス、メロス、メロス、メロス、メロス	王様	お友達セリヌンティウス様	「ああ、メロス様。」うめくような声が、風と共に聞えた。「誰だ。」メロスは走りながら尋ねた。「フィロストラトスでございます。貴方のお友達セリヌンティウス様の弟子でございます。」その若い石工も、メロスの後
P17	メロス、メロス、メロス、メロス、メロス、メロス、メロス、メロス、メロス、メロス、メロス、メロス、勇者	暴君ディオニス、王様	セリヌンティウス、友、セリヌンティウス、セリヌンティウス、セリヌンティウス、セリヌンティウス、佳き友	陽は、ゆらゆら地平線に没し、まさに最後の一片の残光も、消えようとした時、メロスは疾風の如く刑場に突入した。間に合った。「待て。その人を殺してはならぬ。メロスが帰って来た。約束のとおり、いま、帰って来た
